token,frequency
hicrin,10
dönməzəm.,10
biçarə,10
"şah,",10
"ilahi,",10
Dodağın,10
"düşdü,",10
Canımı,10
Gözlərin,10
vəfalı,10
inkar,10
varsa,10
"dünyada,",10
"pərişan,",10
"yəqin,",10
tökülür.,10
susadı.,10
mədh,10
derəm.,10
ahım,10
ayı,10
qandasan?,10
düşər.,10
etmǝk,10
dönüb,10
tapdı,10
"Bəli,",10
siz,10
gəlməsün.,10
Başına,10
mərd,10
durnalar!,10
nǝdir?,10
gedib,10
"gələydi,",10
"başına,",10
"yeksan,",10
uşaq,10
"odur,",10
gətir!,10
tazələ!,10
görsənər.,10
gərəkdir.,10
Canı,9
Ala,9
düşən,9
dəmdə,9
"niqab,",9
Canü,9
bənd,9
peykan,9
ucundan,9
şəm,9
dün,9
Gözlərim,9
etmişdi,9
eyləyim,9
bulmuş,9
dəyməz,9
Hicr,9
Vəslin,9
söylər,9
təmam,9
Key,9
bəd,9
bir-bir,9
fəqr,9
qalmış,9
gərdun,9
qılmaq,9
Zəhi,9
qılsın,9
Füzulidən,9
unut!,9
tərkin,9
təkrar,9
qəmü,9
"yarı,",9
"onu,",9
müyəssər,9
bilməzəm,9
***,9
İstər,9
öylə,9
oldun,9
şair,9
"sözü,",9
ümid,9
başə,9
rüsva,9
birlə,9
"derəm,",9
bivəfa,9
xəta,9
fərman,9
dust,9
qədrin,9
atəşi,9
pəri,9
divanə,9
münəvvər,9
haman,9
"istərsən,",9
fəryad,9
görəndə,9
gedər,9
"etdin,",9
adət,9
ixtiyar,9
əğyar,9
olsam,9
"etmiş,",9
"ah,",9
cəhətdən,9
dur,9
Sənsən,9
aqibət,9
"üzünü,",9
bildim,9
hökmü,9
bahar,9
yəni,9
bəladır,9
olam,9
kimsəyə,9
abid,9
açan,9
qərarım,9
Zərrəcə,9
yarım,9
Qoyma,9
"həbibim,",9
çərx,9
dilərsən,9
"qəmin,",9
üzdən,9
"eşqin,",9
gecələr,9
tay,9
"kimidir,",9
gözəllər,9
Amma,9
başda,9
dilə,9
Onları,9
Az,9
hələ,9
müşk,9
qaşların,9
Fərhad,9
görüm,9
rəb!,9
Sədəf,9
mişkin,9
alan,9
xublar,9
bizdən,9
sərvə,9
zəhi,9
Könlümü,9
"yenə,",9
"sevdiyim,",9
möhnətü,9
olanlar,9
sünbülün,9
şanə,9
"işi,",9
dəf,9
xud,9
Həqq,9
"deyə,",9
ona.,9
şəb,9
saçar,9
yolun,9
Saçın,9
abü,9
açıldı,9
"söz,",9
"candan,",9
verər.,9
Düşdüm,9
yetər.,9
suya,9
Eyləyib,9
əməl,9
ustad,9
lə’lin,9
lakin,9
olmasın,9
mə’nidən,9
kəsin,9
çeşmeyi-heyvan,9
elm,9
meylə,9
kömək,9
"içim,",9
saqın!,9
əzəl,9
Dost,9
rədd,9
"dedi,",9
iti,9
"söylə,",9
təkcə,9
nazlı,9
simü,9
dərk,9
"yandı,",9
tapa,9
kəmal,9
"xoşdur,",9
iqrar,9
olandan,9
etməzmidim?,9
eylədin,9
aşikar,9
heyvan,9
bədən,9
sahibi,9
qaçar,9
etsin,9
yoldan,9
əqli,9
son,9
pərdə,9
əyan.,9
ziyan.,9
qılınc,9
dedim,9
"keçmişəm,",9
Anın,9
Şahın,9
Hüsnünə,9
"nigara,",9
Vüsalın,9
vüsalın,9
bəyaz,9
həqqə,9
Firqətin,9
ayru,9
sizlərə.,9
qiyamət,9
şəmsü,9
axan,9
huri,9
sal,9
fələk.,9
quşu,9
həsrətindən,9
verməzəm.,9
"dünyanın,",9
"uş,",9
axır.,9
yar.,9
"Əli,",9
irəməz.,9
düşməyə.,9
nеçün,9
əlli,9
sağ,9
etdigim,9
Gəlib,9
"deyin,",9
gedən,9
deyiləm,9
etdilər,9
Əldə,9
nisbǝtlidir.,9
dövridir.,9
Azərbaycan,9
edirəm,9
edir.,9
olub.,9
"gedib,",9
xidmət,9
məna,9
Bircə,9
"vəqtidir,",9
"kağızın,",9
əsla,9
"ötrü,",9
geysin,9
Mirza!,9
qarğa,9
şer,9
And,9
olaydı!,9
ölürəm.,9
"Lakin,",9
inan!,9
gələ!,9
görmüşəm.,9
bimar,8
qeyr,8
Qanda,8
içrə.,8
"gözüm,",8
mülkünə,8
lazımdır,8
mühəyya,8
ayinə,8
üçündür.,8
"təbib,",8
Çəkmə,8
ləbi,8
Canə,8
möhkəm,8
xəm,8
olmasın.,8
"olmasa,",8
nəm,8
eşqi,8
zünnar,8
etsəm,8
edənlər,8
sərməst,8
bəzm,8
Rüxün,8
qəhr,8
məhşər,8
çeşmim,8
xoşdur,8
əzm,8
Hərgiz,8
Eyşü,8
demə,8
nişə,8
səd,8
"etsə,",8
məlum,8
"durur,",8
Qamu,8
eylər?,8
san,8
"gecə,",8
məskən,8
dua,8
ki:,8
cananə,8
Züleyxa,8
cigər,8
dildar,8
"dəyər,",8
qədri,8
dedilər,8
Olsa,8
qalır,8
İstərəm,8
zəhmət,8
gördükdə,8
etdin.,8
nazü,8
aşina,8
doludur,8
"şad,",8
Qaliba,8
olacaq,8
"əhlinə,",8
mənimlə,8
mənzil,8
Mümkün,8
"yarım,",8
Xəlqə,8
Füzulini,8
sənəm,8
sevda,8
evi,8
aqil,8
tut.,8
"sultan,",8
gözəl.,8
çəmən,8
daşı,8
qəmim,8
həkim!,8
"zinhar,",8
Etmədi,8
Dəmadəm,8
aram,8
görər,8
sinə,8
qalmadı.,8
tutan,8
çəkmək,8
qəmxar,8
vəh,8
yetməzmi?,8
Sana,8
yetməz,8
Kərəm,8
Ləblərin,8
başın,8
"zülfünə,",8
Özün,8
altında,8
vacib,8
edərək,8
qırmızı,8
Özü,8
yeyən,8
yaradan,8
aşiqlərin,8
məclis,8
ləzzət,8
olmuşdur.,8
yaşıl,8
hörmət,8
xalq,8
vəqt,8
qarşısında,8
vermədi,8
Fəqr,8
keç,8
çoxdur,8
qəmindən,8
zirü,8
qılmışam,8
münkir,8
Pərişan,8
məh,8
güzər,8
eylərəm.,8
Əgərçi,8
Ağlar,8
gəda,8
görcək,8
Daş,8
"Gözüm,",8
dövlətli,8
Gözümdən,8
"əsir,",8
atəş,8
düşsə,8
ərz.,8
Xəlq,8
Çü,8
Tutdu,8
"əhli,",8
çıxmaz,8
yarü,8
doludur.,8
ağır,8
saqi,8
arif,8
hansı,8
gördün,8
vəch,8
gülşəndə,8
atıb,8
gördügün,8
"gözə,",8
neyçün,8
xəbər.,8
Yol,8
"şəha,",8
tapar,8
Həmişə,8
təmə’.,8
"əlbət,",8
dər,8
"Günəş,",8
camın,8
оlur,8
tapılmaz,8
şeyi,8
"Söylə,",8
tuta,8
düşmədi,8
Nur,8
At,8
Meyvə,8
vardı,8
"оndan,",8
dəli,8
"de,",8
canan!,8
səbəb,8
razı,8
zövqü,8
оldu,8
