row_id,author,title
36,Məhəmməd Füzuli,Dil uzadır bəhs ilə ol arizi-xəndanə şəm
37,Məhəmməd Füzuli,"Dürcdür ləli-rəvanbəxşin, düri-şəhvar ləfz"
38,Məhəmməd Füzuli,Dün könül dildarə şərhi-qəmi-pünhan etdi
39,Məhəmməd Füzuli,Dürdvəş sərgəşteyi-camü xərabi-badəyəm
40,Məhəmməd Füzuli,"Dust bipərva, fələk birəhm, dövran bisükun"
41,Məhəmməd Füzuli,Dərdi-eşqim dəfinə zəhmət çəkər daim təbib
42,Məhəmməd Füzuli,Dəhənin şövqünü cansuz güman etməz idim
43,Məhəmməd Füzuli,"Ey, hər təkəllümüm xəti-səbzin hekayəti!"
44,Məhəmməd Füzuli,Dəhənin dərdimə dərman dedilər cananın
45,Məhəmməd Füzuli,"Ey geyib gülgyn, dəmadəm əzmi-cövlan eyləyən"
46,Məhəmməd Füzuli,"Ey bivəfa ki, adət olubdur cəfa sana"
47,Məhəmməd Füzuli,"Ey fəraqi-ləbi-canan, ciyərim xun etdin"
48,Məhəmməd Füzuli,"Ey göz, ol nərgisi-xunxarə nigah etmə dəxi"
49,Məhəmməd Füzuli,"Ey gül, nə əcəb silsileyi-mişki-tərin var"
50,Məhəmməd Füzuli,"Ey könül, ol xəncəri-müjganə eylərsən həvəs"
51,Məhəmməd Füzuli,"Ey könül, çox seyr qılma, günbədi-dəvvar tək"
52,Məhəmməd Füzuli,"Ey könül, yarı istə, candan keç"
53,Məhəmməd Füzuli,"Ey kəmanəbru, şəhidi-navəki-müjganinəm"
54,Məhəmməd Füzuli,"Ey müsəvvir, yar timsalinə surət vermədin"
55,Məhəmməd Füzuli,"Ey mələksima ki, səndən özgə heyrandır sana"
56,Məhəmməd Füzuli,"Ey məh, mənimlə dustlərim düşmən eylədin"
57,Məhəmməd Füzuli,Ey məzaqi-cana cövrin şəhdü şəkkər tək ləziz
58,Məhəmməd Füzuli,Ey navəki-şövqin sipəri-sineyi-əhbab
59,Məhəmməd Füzuli,Ey olub merac bürhani-ülüvvi-şan sana
60,Məhəmməd Füzuli,Ey qübari-qədəmin ərşi-bərin başinə tac
61,Məhəmməd Füzuli,"Ey xoş ol günlər ki, rüxsarın mənə mənzur idi"
62,Məhəmməd Füzuli,Ey təğafül birlə hər saət qılan şeyda məni
63,Məhəmməd Füzuli,"Eylə müstəsna gözəlsən kim, sənə yoxdur bədəl"
64,Məhəmməd Füzuli,Eyş üçün bir türfə mənzildir bahar əyyamı bağ
65,Məhəmməd Füzuli,"Ey əsiri-dami-qəm, bir guşeyi-meyxanə tut!"
66,Məhəmməd Füzuli,Ey xədəngi-qəminə sineyi-əhbab hədəf
67,Məhəmməd Füzuli,Eşigin daşini qan ilə yudu çeşmi-tərim
68,Məhəmməd Füzuli,"Eşqdən canımda bir pünhan mərəz var, ey həkim!"
69,Məhəmməd Füzuli,Eşq ətvarın müsəlləm eylədi gərdun mana
70,Məhəmməd Füzuli,"Faş qıldın qəmim, ey dideyi-xunbar, mənim"
71,Məhəmməd Füzuli,"Gah gözdə, gəh könüldə xədəngin məkan tutar"
72,Məhəmməd Füzuli,Gecələr ta halimə gərdun təmaşa etmədi
73,Məhəmməd Füzuli,"Fəğan kim, bağrımın ol lalərüx qan olduğun bilməz"
74,Məhəmməd Füzuli,Getdi əldən sənəmin sünbüli-mişkəfşani
75,Məhəmməd Füzuli,"Gör sirişkim şəbi-hicran, demə kim, qandır bu"
76,Məhəmməd Füzuli,"Girib meyxanəyə, müğ məşrəbilə kim ki, xu eylər"
77,Məhəmməd Füzuli,"Gördüm ol xurşidi-hüsnün, ixtiyarım qalmadı"
78,Məhəmməd Füzuli,Giryədir hər dəm açan qəmdən tutulmuş könlümü
79,Məhəmməd Füzuli,Görməsəm hər göz açanda ol güli-rəna üzün
80,Məhəmməd Füzuli,Göz xətindən mərdümin məhv etmədən bulmaz murad
81,Məhəmməd Füzuli,Görüb mühlik mənim çevrəmdə bəhri-eşq tüğyanın
82,Məhəmməd Füzuli,Gər deyil bir mah mehrilən mənim tək zar sübh
83,Məhəmməd Füzuli,"Gərdi-rəhin, ey əşk, yudun çeşmi-tərimdən"
84,Məhəmməd Füzuli,"Gəlir ol sərvi-səhi, ey gülü lalə, açılın"
85,Məhəmməd Füzuli,Gərmdir şamü səhər mehrinlə çərxi-lacivərd
86,Məhəmməd Füzuli,"Gərçi, ey dil, yar üçün üz verdi yüz möhnət sana"
87,Məhəmməd Füzuli,"Heyrət, ey büt, surətin gördükdə lal eylər məni"
88,Məhəmməd Füzuli,Hübabi-əşki-xunin cismimi eldən nihan etmiş
89,Məhəmməd Füzuli,"Həzər qıl ah odundan, cövrünü üşşaqə az eylə"
90,Məhəmməd Füzuli,Hər hübabi-əşkimə bir əks salmış peykərim
91,Məhəmməd Füzuli,Hədiqətüs-süəda
92,Məhəmməd Füzuli,Kuhkən Şirinə öz nəqşin çəkib vermiş firib
93,Məhəmməd Füzuli,Kargər düşməz xədəngi-tə’neyi-düşmən mana
94,Məhəmməd Füzuli,Kimsədə rüxsarına taqəti-nəzzarə yox
95,Məhəmməd Füzuli,"Könül, yetdi əcəl, zövqi-rüxi-dildar yetməzmi"
96,Məhəmməd Füzuli,Kuhkəndən gözükür kuhdə asar hənuz
97,Məhəmməd Füzuli,Könlüm açılır zülfi-pərişanını görgəc
98,Məhəmməd Füzuli,"Kərəm qıl, kəsmə, saqi, iltifatın binəvalərdən"
99,Məhəmməd Füzuli,Kəmali-hüsn veribdir şərabi-nab sana
100,Məhəmməd Füzuli,"Könüldə min qəmim vardır ki, pünhan eyləmək olmaz"
101,Məhəmməd Füzuli,Leyli və Məcnun (Füzuli)
102,Məhəmməd Füzuli,Ləbin əksi gözüm yaşini mey tək laləgun etdi
103,Məhəmməd Füzuli,Ləbin rəşki mizacın təlx qıldı badeyi-nabın
104,Məhəmməd Füzuli,Ləblərin tək ləlü ləfzin tək düri-şəhvar yox
105,Məhəmməd Füzuli,Ləhzə-ləhzə ləbin anıb edicək əfğanlar
106,Məhəmməd Füzuli,"Möhnəti-eşq, ey dil, asandır deyib, çox urma laf"
107,Məhəmməd Füzuli,Müjəm sərçeşmələr mənzil qılan aşüftə məcnundur
108,Məhəmməd Füzuli,Meyvələrin söhbəti
109,Məhəmməd Füzuli,Mülki-hüsnün böylə zalim padişahi olmağıl
110,Məhəmməd Füzuli,"Müqəvvəs qaşların kim, vəsmə birlə rəng tutmuşlar"
111,Məhəmməd Füzuli,"Münhərifdir, saqiya, ənduhi-dünyadən mizac"
112,Məhəmməd Füzuli,Mürdə cismim iltifatından bulur hər dəm həyat
113,Məhəmməd Füzuli,"Müxalif dövrdən, gülgyn şərabı qanə dəgşirdim"
114,Məhəmməd Füzuli,"Məhşər günü görüm derəm, ol sərvqaməti"
115,Məhəmməd Füzuli,Müshəf demək xətadır od səfheyi-cəmalə
116,Məhəmməd Füzuli,"Məgər xab içrə gördün, ey könül, ol çeşmi-şəhlayi"
117,Məhəmməd Füzuli,Məndə Məcnundan füzun aşiqlik istedadı var
118,Məhəmməd Füzuli,"Məni zikr etməz el, əfsaneyi-Məcnunə mayildir"
119,Məhəmməd Füzuli,Mən kiməm ? - bir fəqiri-bisərü pa
120,Məhəmməd Füzuli,"Mənim tək hiç kim zarü pərişan olmasın, ya rəb!"
121,Məhəmməd Füzuli,"Mənim kim, bir ləbi-xəndan üçün giryanlığm vardır"
122,Məhəmməd Füzuli,Mənim kim bir ləbi-xəndan üçün giryanlığım vardır
123,Məhəmməd Füzuli,Mənə badi-səba ol sərvi-gülrüxdən xəbər verməz
124,Məhəmməd Füzuli,Mərhəm qoyub önərmə sinəmdə qanlı dağı
125,Məhəmməd Füzuli,"Məskən, ey bülbül, sənə gəh şaxi-güldür, gəh qəfəs"
126,Məhəmməd Füzuli,Nalədəndir ney kimi avazeyi-eşqim bülənd
127,Məhəmməd Füzuli,"Ney kimi, hər dəm ki, bəzmi-vəslini yad eylərəm"
128,Məhəmməd Füzuli,"Nihali-sərvdir qəddin, qaşın nun ol nihal üzrə"
129,Məhəmməd Füzuli,Nola gər rəşki-rüxsarinlə bağrı xubların qandır
130,Məhəmməd Füzuli,Nola gər qucsa miyanın kəməri-zər küstax
131,Məhəmməd Füzuli,Nola zahid bilsə küfri-zülfün iman olduğun
132,Məhəmməd Füzuli,Nurini mah mehri-rüxündən alır müdam
133,Məhəmməd Füzuli,Nə xoşdur arizin dövründə zülfi-ənbər əfşanın
134,Məhəmməd Füzuli,Nə görər əhli-cəfa məndə vəfadən qeyri
135,Məhəmməd Füzuli,Nəmi-əşkim mükəddər xatirimdən dəfi-qəm qılmaz
136,Məhəmməd Füzuli,"Ol ki, hər saət gülərdi çeşmi-giryanım görüb"
137,Məhəmməd Füzuli,Ol mah vüsalilə xoş et bir gecə halim
138,Məhəmməd Füzuli,Olmaz oldu görüb əhvalımı el xublara aşiq
139,Məhəmməd Füzuli,Olsaydı məndəki qəm Fərhadi-mübtəladə
140,Məhəmməd Füzuli,"Olur qəddim düta eşqin yolunda, hər bəla görgəc"
141,Məhəmməd Füzuli,"Olur rüxsarına gün, ləlinə gülbərgi-tər aşiq"
142,Məhəmməd Füzuli,Payibənd oldum səri-zülfi-pərişanın görüb
143,Məhəmməd Füzuli,Padişahi-mülk
144,Məhəmməd Füzuli,Pənbeyi-daği-cünun içrə nihandır bədənim
145,Məhəmməd Füzuli,Pərişan xəlqi-aləm ahü əfğan etdiyimdəndir
146,Məhəmməd Füzuli,Qaliba bir əhli-dil toprağidir dürdi-şərab
147,Məhəmməd Füzuli,Qamətin xidmətinə sərvin əyilməz başı
148,Məhəmməd Füzuli,"Pərişan halin oldum, sormadın hali-pərişanım"
149,Məhəmməd Füzuli,Qansı mahin bilməzəm mehrilə olmuş zar sübh
150,Məhəmməd Füzuli,Qansı gülşən gülbüni sərvi-xuramanınca var
151,Məhəmməd Füzuli,"Qaçan kim, qamətindən ayrı seyri-busitan etdim"
152,Məhəmməd Füzuli,Qeyrə eylər bisəbəb min iltifat ol nuşləb
153,Məhəmməd Füzuli,Qübari-səcdeyi-rahin xəti-lövhi-cəbinimdir
154,Məhəmməd Füzuli,"Qıl, səba, könlüm pərişan olduğun cananə ərz"
155,Məhəmməd Füzuli,"Qıldı ol sərv səhər, nazilə həmmamə xüram"
156,Məhəmməd Füzuli,"Qılsa vəslin şamımı sübhə bərabər, yox əcəb"
157,Məhəmməd Füzuli,Qıldı zülfün tək pərişan halimi xalin sənin
158,Məhəmməd Füzuli,Qıymadın sakini-kuyin olana peykanın
159,Məhəmməd Füzuli,"Qəbrim daşına kim, qəm odundan zəbanədir"
160,Məhəmməd Füzuli,"Qəmdən öldüm, demədim hali-dili-zar sana"
161,Məhəmməd Füzuli,Qəd ənarəl-eşqə-lil-üşşaqi minhacəl hüda
162,Məhəmməd Füzuli,Qəmindən başə dün həsrət əlilə ol qədər vurdum
163,Məhəmməd Füzuli,Qəmzə peykanın gözün mən mübtəladən saxlamaz
164,Məhəmməd Füzuli,"Riştədir cismim ki, dövri-çərx vermiş tab ona"
165,Məhəmməd Füzuli,"Razi-eşqin saxlaram eldən nihan, ey sərvinaz"
166,Məhəmməd Füzuli,Ruzigarım buldu dövrani-fələkdən inqilab
167,Məhəmməd Füzuli,"Rəhm et, ey şəh, məni-dərviş çəkən ahlərə"
168,Məhəmməd Füzuli,Rəngi-ruyindən dəm urmuş sağəri-səhbayə bax!
169,Məhəmməd Füzuli,Rəhrövi-irfanə bəsdir sağərü saqi dəlil
170,Məhəmməd Füzuli,Rəvacın nəqdi-peykanınla bulmuş hüsn bazarı
171,Məhəmməd Füzuli,Saqinamə
172,Məhəmməd Füzuli,"Saqiya, cam tut ol aşiqə kim, qayğuludur"
173,Məhəmməd Füzuli,"Saqiya, mey sun ki, dami-qəmdürür huşyarlıq"
174,Məhəmməd Füzuli,"Saçma, ey göz, əşkdən könlümdəki odlarə su"
175,Məhəmməd Füzuli,Saçın əndişəsi təhriki-zənciri-cünunumdur
176,Məhəmməd Füzuli,"Seyr qıl, gör kim, gülüstanın nə abü tabı var"
177,Məhəmməd Füzuli,Söz (Füzuli)
178,Məhəmməd Füzuli,Sübh salıb mah rüxündən niqab
179,Məhəmməd Füzuli,"Səba, lütf etdin, əhli-dərdə dərmandan xəbər verdin"
180,Məhəmməd Füzuli,"Süluki-fəqr ətvarım, məzaqi-eşq halımdır"
181,Məhəmməd Füzuli,"Səba, əğyardan pünhan, qəmim dildarə izhar et"
182,Məhəmməd Füzuli,Səbuh üçün mənə dürdi-meyi-şəbanə yetər
183,Məhəmməd Füzuli,"Səbrim alıb fələk, mənə yüz min bəla verər"
184,Məhəmməd Füzuli,Səbadən gül üzündə sünbüli-pürpiçü tab oynar
185,Məhəmməd Füzuli,"Sübh çəkmiş çərxə, çalmış daşə tiğin afitab"
186,Məhəmməd Füzuli,Sən üzündən aləmi rövşən qılıb saldın niqab
187,Məhəmməd Füzuli,"Səcdədir hər qanda bir büt görsəm, ayinim mənim"
188,Məhəmməd Füzuli,Sərvi-azad qədinilə mana yeksan görünür
189,Məhəmməd Füzuli,Tutuşdu qəm oduna şad gördüyün könlüm
190,Məhəmməd Füzuli,"Ta ki, taği-zərnigarın çərx viran eyləmiş"
191,Məhəmməd Füzuli,"Tökdükcə qanımı oxun, ol asitan içər"
192,Məhəmməd Füzuli,Səvadi-büqeyi Bağdad çeşmi-həft kişvərdir
193,Məhəmməd Füzuli,Tərəşşüh qəbrimin daşından etmiş çeşmimin yaşi
194,Məhəmməd Füzuli,Təşneyi-cami-vüsalın abi-heyvan istəməz
195,Məhəmməd Füzuli,Tənimdə zəxmi-tiğin çeşmi-xunəfşanə bənzətdim
196,Məhəmməd Füzuli,"Təriqi-fəqr tutsam təb tabe, nəfs ram olmaz"
197,Məhəmməd Füzuli,Xaki-rəh etdi aşiqi-miskini ol həvəs
198,Məhəmməd Füzuli,"Var ümidim ki, görüb cövlanını olsam həlak"
199,Məhəmməd Füzuli,Vəh nədir ol tairi-fərxəndəbalü tiz pər
200,Məhəmməd Füzuli,"Vəh nə qamət, nə qiyamət, bu nə şaxi-güli-tərdir"
201,Məhəmməd Füzuli,Xəlqə ağızın sirrini hər dəm qılır izhar söz
202,Məhəmməd Füzuli,"Xoşam kim, dəmbədəm giryan gözüm ol xaki-padəndir"
203,Məhəmməd Füzuli,Xəlqə xublardan vüsali-rahətəfzadır qərəz
204,Məhəmməd Füzuli,"Xoş ol zaman ki, hərimi-vüsalə məhrəm idim"
205,Məhəmməd Füzuli,Yanan eşq atəşinə atəşi-duzəxdən eyməndir
206,Məhəmməd Füzuli,Xəm açıldıqca zülfündən bəlavü möhnətim artar
207,Məhəmməd Füzuli,Xəm qədilə ağılaram ol türreyi-tərrarsız
208,Məhəmməd Füzuli,Xətti-rüxsarın edər lütfdə reyhan ilə bəhs
209,Məhəmməd Füzuli,"Yar vəslin istəsən, kəsmək gərək candan təmə"
210,Məhəmməd Füzuli,Yar qılmazsa mənə cövrü cəfadən qeyri
211,Məhəmməd Füzuli,Yar vəslin istəyən kəsmək gərək candan təmə
212,Məhəmməd Füzuli,"Yaxma canım, naleyi-biixtiyarımdan saqın"
213,Məhəmməd Füzuli,Yeddi cam
214,Məhəmməd Füzuli,Yeddi cam/Altıncı camın keyfiyyəti
215,Məhəmməd Füzuli,Yeddi cam/Beşinci camın keyfiyyəti
216,Məhəmməd Füzuli,Yeddi cam/Birinci camın keyfiyyəti
217,Məhəmməd Füzuli,Yeddi cam/Dördüncü camın keyfiyyəti
218,Məhəmməd Füzuli,Yeddi cam/Ney ilə söhbət
219,Məhəmməd Füzuli,Yeddi cam/Dəf ilə söhbət
220,Məhəmməd Füzuli,Yeddi cam/Mütrüb ilə söhbət
221,Məhəmməd Füzuli,Yeddi cam/Qanun ilə söhbət
222,Məhəmməd Füzuli,Yeddi cam/Ud ilə söhbət
223,Məhəmməd Füzuli,Yeddi cam/Tar və çəng ilə söhbət
224,Məhəmməd Füzuli,Yeddi cam/Yeddinci camın keyfiyyəti
225,Məhəmməd Füzuli,Yeddi cam/Setar ilə söhbət
226,Məhəmməd Füzuli,Yeddi cam/Üçüncü camın keyfiyyəti
227,Məhəmməd Füzuli,Yeddi cam/İkinci camın keyfiyyəti
228,Məhəmməd Füzuli,Yenə ol mah mənim aldı qərarım bu gecə
229,Məhəmməd Füzuli,"Yüksəlir göylərə, ey mah, fəğanım sənsiz"
230,Məhəmməd Füzuli,"Yürü, yetir mənə, ey simi-əşk, bidad et"
231,Məhəmməd Füzuli,Yıxdı saqi bir əyağ ilə məni-əfkarı
232,Məhəmməd Füzuli,Zairi-meyxanəyəm müğ səcdəsidir taətim
233,Məhəmməd Füzuli,Zövq şövqilə cəhan qeydin çəkən zəhmət çəkər
234,Məhəmməd Füzuli,Zülfi kimi ayağın qoymaz öpəm nigarım
235,Məhəmməd Füzuli,Çeşmi-surətbazimə müjgan səfi həngamədir
236,Məhəmməd Füzuli,"Zəhi, zatın nihanü ol nihandan masiva peyda"
237,Məhəmməd Füzuli,Çıxdı yaşıl pərdədən ərz eylədi rüxsar gül
238,Məhəmməd Füzuli,Çəkər birəhmlər yanında hər saət zəban xəncər
239,Məhəmməd Füzuli,"Öylə rənadır, gülüm, sərvi-xuramanın sənin"
240,Məhəmməd Füzuli,Çərx hər ay başına salmış qaşından bir xəyal
241,Məhəmməd Füzuli,Üzünü güzgüyə qeybətdə oxşadan qafil
242,Məhəmməd Füzuli,İstərəm (Füzuli)
243,Məhəmməd Füzuli,Şikayətnamə
244,Məhəmməd Füzuli,Şəfayi-vəsl qədrin hicr ilə bimar olandan sor
245,Məhəmməd Füzuli,Şəmi-ruyin afitabi-aləmaradır sənin
246,Məhəmməd Füzuli,Əgər murad isə vermək səfayi-cövhəri-ruh
247,Məhəmməd Füzuli,"Əgər çıxsaydı dərdin cismdən, derdim ki, candır bu"
248,Məhəmməd Füzuli,Əgərçi iynə tək keçdim cahanın cümlə varından
249,Məhəmməd Füzuli,Əksi-rüxsarın ilə oldu müzəyyin mirat
250,Məhəmməd Füzuli,Əksi-rüxsarın ilə oldu müzəyyən mirat
251,Məhəmməd Füzuli,Ələ alır gəzicək ol güli-rəna ətəgin
252,Məhəmməd Füzuli,"Əql yar olsaydı, tərki-eşqi-yar etməzmidim"
253,Məhəmməd Füzuli,Ənisül-qəlb
254,Məhəmməd Füzuli,"Əzbər olmuşdur dilimdə şanlı namın, ya Əli!"
255,Məhəmməd Füzuli,Əzəl katibləri üşşaq bəxtin qarə yazmışlar
256,Məhəmməd Füzuli,Əşrəqət min fələkil-behcəti şəmsün və biha
257,İmadəddin Nəsimi,Afərin olsun nigarın zülfü ilə qaşinə
258,İmadəddin Nəsimi,Afitabın tələtindən mahi-taban ru tutar
259,İmadəddin Nəsimi,"Allahü əkbər, ey sənəm, hüsnündə heyran olmuşam"
260,İmadəddin Nəsimi,Aləmdə bu gün əhdi bütün yar ələ girməz
261,İmadəddin Nəsimi,Ay ilə gün sücud edər surəti-canfəzayinə
262,İmadəddin Nəsimi,Apardı könlümü bir çeşmi-məxmur
263,İmadəddin Nəsimi,Ayrılıqdan yar mənim bağrımı büryan eylədi
264,İmadəddin Nəsimi,Apardı könlümü məndən bu gün ol cənnətin huri
265,İmadəddin Nəsimi,"Aşiq bəla yolunda gərək kim, həmul ola"
266,İmadəddin Nəsimi,"Bahar oldu, gəl ey dilbər, tamaşa qıl bu gülzarə"
267,İmadəddin Nəsimi,Bağrımnı dəlür navəki-hicrani-filani
268,İmadəddin Nəsimi,"Başını top eyləgil, gir vəhdətin meydanına"
269,İmadəddin Nəsimi,"Bir cəfakeş aşiqəm, ey yar, səndən dönməzəm"
270,İmadəddin Nəsimi,"Bir dəxi görmək camalın könlüm, ey can, arzular"
271,İmadəddin Nəsimi,"Bir saqiyi-baqi ki, vəfa qıldı vüsalə"
272,İmadəddin Nəsimi,"Boyundur sidrəvü tuba, dodağın abi-heyvandır"
273,İmadəddin Nəsimi,"Bu necə qəddü qamətdir ki, bənzər sərvi-balayə"
274,İmadəddin Nəsimi,"Bu nə adətdir, ey türki-pərizad"
275,İmadəddin Nəsimi,Bənövşə zülfünü salmış gül üzrə ənbərin sayə
276,İmadəddin Nəsimi,Bərgi-nəsrin üzrə mişkin zülfünü dam eyləmə
277,İmadəddin Nəsimi,Cahan üzün günəşindən münəvvər olmuşdur
278,İmadəddin Nəsimi,Camalın fitnəsi tutdu cahanı
279,İmadəddin Nəsimi,Camalın rövzeyi-rizvan deyilmi
280,İmadəddin Nəsimi,Camalın tələti gülzara bənzər
281,İmadəddin Nəsimi,Camalındır həqqin zatü sifatı
282,İmadəddin Nəsimi,"Can eşqə düşdü, ey könül, yarəb, nədir tədbirimiz"
283,İmadəddin Nəsimi,"Cana, sən candan nə kim, gəlsə cigərlər ağrımaz"
284,İmadəddin Nəsimi,"Cana, üz istivasına şəqqül-qəmər gərək"
285,İmadəddin Nəsimi,Canana mənim sevdiyimi can bilir ancaq
286,İmadəddin Nəsimi,"Canıma düşdü firqətin, gör ki, nə nar içindəyəm"
287,İmadəddin Nəsimi,Canımı qıldım fəda şol dilbərin didarına
288,İmadəddin Nəsimi,"Canımı yandırdı şövqün, ey nigarım, qandasan"
289,İmadəddin Nəsimi,"Canımın, cana, vüsalın can içində canıdır"
290,İmadəddin Nəsimi,"Cənnəti-ədn imiş üzün, üştə ləbin də kövsəri"
291,İmadəddin Nəsimi,"Daldım yenə bir bəhrə ki, ümman dəxi bilməz"
292,İmadəddin Nəsimi,"Dil bazarçısı yalandır, varmazam bazarinə"
293,İmadəddin Nəsimi,Dil sənin şirin kəlamıntək kəlim olmuşdurur
294,İmadəddin Nəsimi,"Dilbəra, dil səndən özgə bir dəxi yar istəməz"
295,İmadəddin Nəsimi,"Dildarə müştaq oldu can, anın camalın arzular"
296,İmadəddin Nəsimi,"Dinin günəşi, dünyada imanım əfəndi"
297,İmadəddin Nəsimi,"Dinləgil bu sözü ki, candır söz"
298,İmadəddin Nəsimi,"Dünya duracaq yer deyil, ey can, səfər eylə!"
299,İmadəddin Nəsimi,Düşdü könül ala gözün ağınavü qərasinə
300,İmadəddin Nəsimi,"Dünü gün müntəzifəm mən ki, bu pərgar nədir"
301,İmadəddin Nəsimi,Düşdü yenə dəli könül gözlərinin xəyalinə
302,İmadəddin Nəsimi,Düşmüş müənbər sünbülün xurşidi-taban üstünə
303,İmadəddin Nəsimi,Düşürmüş ənbərin zülyfün hümayun kölgəsin ayə
304,İmadəddin Nəsimi,"Düşdüm əzəldə zülfünə, dam olmadan hənuz"
305,İmadəddin Nəsimi,"Dərdmənd etdin məni, ey dərdə dərman erməni"
306,İmadəddin Nəsimi,"Dərdü qəm ilə yandı könül, yar bulunmaz"
307,İmadəddin Nəsimi,"Dərdə müştaq olmayan kimdir ki, dərman istəyə"
308,İmadəddin Nəsimi,Dəryayi-muhit
309,İmadəddin Nəsimi,"Ey Məsihadəm, niyə can vermədin cansızlara?"
310,İmadəddin Nəsimi,Ey camalın ərşi-rəhman qabiə-qövseyn qaşınız
311,İmadəddin Nəsimi,"Ey diriğa kim, cahanda yarü həmdəm kəmdürür"
312,İmadəddin Nəsimi,"Ey gülüm, ey sünbülüm, ey susənim, ey ənbərim"
313,İmadəddin Nəsimi,"Ey həbibim, dilbərim, vey sevgili yarım mənim"
314,İmadəddin Nəsimi,"Ey müsəlmanlar, mədəd, ol yar pünhan ayrılır"
315,İmadəddin Nəsimi,Ey nafeyi-Çin saçın siyahı
316,İmadəddin Nəsimi,"Ey nazı çox dilbər, məni yandırma hicrin narinə"
317,İmadəddin Nəsimi,"Ey nuri-dilü didə, didarına müştaqəm"
318,İmadəddin Nəsimi,"Ey nəsimi-sübhdəm, billah, şu yarım xoşmudur"
319,İmadəddin Nəsimi,"Ey rüxün gülzari-cənnət, saçların reyhanıdır"
320,İmadəddin Nəsimi,"Ey üzü gül, ləbləri mərcanımız"
321,İmadəddin Nəsimi,"Ey üzün nuri-təcəlli, məniyi-iman budur"
322,İmadəddin Nəsimi,Ey üzün şənində münzəl ayəti-Allahu nur
323,İmadəddin Nəsimi,"Ey üzün “nəsrün-minəllah”, vey saçın “fəthün-qərib”"
324,İmadəddin Nəsimi,"Ey əlləzi-yüvəsvis, taətlərin həbadır"
325,İmadəddin Nəsimi,Ey əzəli can ilə cananımız
326,İmadəddin Nəsimi,"Eyşü tərəb yari gül, üzar ilə xoşdu"
327,İmadəddin Nəsimi,"Firqət içində yanıram, dərdimə eylə çarə gəl"
328,İmadəddin Nəsimi,"Firqət içində yürəgim gör ki, nə parə-parədir"
329,İmadəddin Nəsimi,"Firqətin dərdi, nigara, bağrımı qan eylədi"
